"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.670714614E1,-4.348955154E0,-6.710670948E0,-2.407777786E0
3.671270114E1,-4.168296814E0,-6.803392887E0,-1.994417667E0
3.671825614E1,-3.662214994E0,-7.000801086E0,-1.517647743E0
3.672381114E1,-2.896511793E0,-7.175477028E0,-9.822536707E-1
3.672936614E1,-2.056032896E0,-7.170691490E0,-6.556333899E-1
3.673492114E1,-1.204187989E0,-6.984649181E0,-6.538388133E-1
3.674047614E1,-4.863412082E-1,-6.648457527E0,-7.334001660E-1
3.674603114E1,-6.400800496E-2,-6.287141323E0,-7.938188910E-1
3.675158614E1,3.427718580E-1,-5.787041664E0,-7.663014531E-1
3.675714114E1,4.815555513E-1,-5.190630436E0,-6.837490797E-1
3.676269614E1,7.310073376E-1,-4.575077057E0,-5.282155871E-1
3.676825114E1,1.122832060E0,-3.878167391E0,-4.426721931E-1
3.677380614E1,1.453639746E0,-3.130410194E0,-5.096712112E-1
3.677936114E1,1.746760488E0,-2.391027927E0,-8.452646136E-1
3.678491614E1,1.789831281E0,-1.817348838E0,-1.340578914E0
3.679047114E1,1.783849239E0,-1.325623751E0,-1.788036704E0
3.679602614E1,1.870589137E0,-8.883354068E-1,-2.142174482E0
3.680158114E1,2.013560295E0,-5.772684813E-1,-2.196012974E0
3.680713614E1,2.080559254E0,-3.272185028E-1,-2.056631088E0
3.681269114E1,2.014756680E0,-2.572284341E-1,-1.828714728E0
3.681824614E1,2.093719721E0,-3.852444589E-1,-1.369890928E0
3.682380114E1,1.998006940E0,-6.915257573E-1,-9.308080077E-1
3.682935614E1,8.709874153E-1,-1.330409408E0,-5.982056856E-1
3.683491114E1,-4.283152521E-1,-2.150549412E0,-3.326023519E-1
3.684046614E1,-1.403988719E0,-2.998805046E0,1.603191197E-1
3.684602114E1,-2.839682341E0,-3.895515203E0,4.408775866E-1
3.685157614E1,-3.751945972E0,-4.767100811E0,8.470591903E-1
3.685713114E1,-4.619942188E0,-5.542973518E0,8.362914920E-1
3.686268614E1,-5.131408215E0,-6.081956863E0,5.503492057E-2
3.686824114E1,-4.904089928E0,-6.562914371E0,-1.247258782E0
3.687379614E1,-4.049253941E0,-6.900302410E0,-2.507079840E0
3.687935114E1,-2.994019270E0,-7.221538544E0,-3.284747362E0
3.688490614E1,-2.216950178E0,-7.538587570E0,-3.728615999E0
3.689046114E1,-1.507478237E0,-7.871788502E0,-3.767499208E0
3.689601614E1,-8.321040869E-1,-8.285148621E0,-3.862613916E0
3.690157114E1,-5.144568533E-2,-8.603992462E0,-4.069592953E0
3.690712614E1,7.214360237E-1,-8.836693764E0,-4.445864677E0
3.691268114E1,1.284347534E0,-8.957531929E0,-4.962115765E0
3.691823614E1,1.509272933E0,-8.978468895E0,-5.356931686E0
3.692379114E1,1.302293777E0,-8.806783676E0,-5.645864964E0
