"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.975325542E0,-1.005608826E0,2.834655304E0,7.796237640E0,8.356305472E0
2.985368542E0,-9.171427917E-1,2.963088226E0,8.386310577E0,8.941546166E0
2.995411542E0,-8.629554749E-1,3.095862122E0,8.441246338E0,9.032369244E0
3.005454542E0,-8.885522461E-1,3.321742401E0,7.979007568E0,8.688386470E0
3.015497542E0,-9.183403015E-1,3.549119568E0,7.457342377E0,8.309726466E0
3.025540542E0,-8.904981995E-1,3.832180939E0,7.115153961E0,8.130437484E0
3.035583542E0,-8.346643066E-1,4.104315033E0,6.991511078E0,8.150048684E0
3.045626542E0,-8.228388977E-1,4.309687958E0,7.020700378E0,8.278931570E0
3.055669542E0,-8.493338013E-1,4.408183136E0,7.034471741E0,8.344892997E0
3.065712542E0,-8.672964478E-1,4.490661621E0,7.001689911E0,8.363127796E0
3.075755542E0,-8.744815063E-1,4.645589447E0,7.060517578E0,8.496889295E0
3.085798542E0,-7.946974182E-1,4.789589996E0,7.281308441E0,8.751523806E0
3.095841542E0,-6.239025879E-1,4.959636383E0,7.580835571E0,9.080545989E0
3.105884542E0,-5.592370605E-1,5.132526855E0,7.765850830E0,9.325449969E0
3.115927542E0,-6.010002136E-1,5.299878845E0,7.849975891E0,9.490628985E0
3.125970542E0,-5.195695496E-1,5.444478149E0,7.742349701E0,9.479254914E0
3.136013542E0,-4.399351501E-1,5.584886169E0,7.495063934E0,9.357375692E0
3.146056542E0,-4.465214539E-1,5.738167419E0,7.401957550E0,9.376295767E0
3.156099542E0,-4.803511047E-1,5.813011780E0,7.601342926E0,9.581349457E0
3.166142542E0,-5.348377991E-1,5.773643646E0,8.197104034E0,1.004059396E1
3.176185542E0,-7.006929016E-1,5.584137726E0,8.991951141E0,1.060795692E1
3.186228542E0,-7.707472229E-1,5.230722656E0,9.838889923E0,1.116952397E1
3.196271542E0,-7.023394775E-1,4.900509338E0,1.060290115E1,1.170170011E1
3.206314542E0,-6.451583862E-1,4.649780731E0,1.078207855E1,1.175967296E1
3.216357542E0,-7.527845764E-1,4.380790100E0,1.063777863E1,1.152910840E1
3.226400542E0,-9.795629883E-1,4.168681183E0,1.053883438E1,1.137560884E1
3.236443542E0,-1.273851013E0,4.207001495E0,1.062146255E1,1.149508698E1
3.246486542E0,-1.390608215E0,4.594994659E0,1.078402451E1,1.180436155E1
3.256529542E0,-1.444346466E0,5.181175690E0,1.076830719E1,1.203690816E1
3.266572542E0,-1.547332306E0,5.689668274E0,1.061712158E1,1.214453923E1
3.276615542E0,-1.551972656E0,6.016139374E0,1.048838928E1,1.219052344E1
