"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.866185463E0,2.721324563E-1,-5.836645365E-1,2.857238054E-1
1.871740463E0,2.073826492E-1,-5.748072863E-1,2.625116110E-1
1.877295463E0,1.154501289E-1,-5.685460567E-1,2.211267054E-1
1.882850463E0,1.588202827E-2,-5.563291311E-1,1.568350345E-1
1.888405463E0,-7.146912813E-2,-5.205945969E-1,7.498150319E-2
1.893960463E0,-1.389677525E-1,-4.679090083E-1,-1.053711493E-2
1.899515463E0,-1.696628332E-1,-3.987305462E-1,-8.475505561E-2
1.905070463E0,-1.409530044E-1,-3.023693860E-1,-1.319430023E-1
1.910625463E0,-6.413896102E-3,-2.005106062E-1,-6.566607952E-2
1.916180463E0,2.806843221E-1,6.016845629E-2,1.137702987E-1
1.921735463E0,6.445965767E-1,4.986040890E-1,2.892361879E-1
1.927290463E0,9.309312105E-1,6.951441765E-1,3.600944579E-1
1.932845463E0,1.153126955E0,6.517740488E-1,3.674246371E-1
1.938400463E0,1.412584305E0,6.097782850E-1,4.130854607E-1
1.943955463E0,1.684716702E0,5.983248949E-1,5.008947253E-1
1.949510463E0,1.950587988E0,5.995466113E-1,5.833591223E-1
1.955065463E0,2.193552494E0,6.111527085E-1,6.221479177E-1
1.960620463E0,2.365505934E0,5.002838969E-1,5.761816502E-1
1.966175463E0,2.395590305E0,1.229330078E-1,4.309527278E-1
1.971730463E0,2.320303202E0,-3.066453338E-1,2.528907657E-1
1.977285463E0,2.286706686E0,-4.161396921E-1,1.389677525E-1
1.982840463E0,2.284263372E0,-3.324536085E-1,1.116323397E-1
1.988395463E0,2.228065491E0,-3.223746419E-1,1.847812980E-1
1.993950463E0,2.050003290E0,-5.276193023E-1,3.020639718E-1
1.999505463E0,1.754811406E0,-7.434011102E-1,3.915531039E-1
2.005060463E0,1.425717473E0,-7.644753456E-1,4.327852726E-1
2.010615463E0,1.069440842E0,-7.715001106E-1,3.953709006E-1
2.016170463E0,6.345176101E-1,-6.890357137E-1,2.730487287E-1
2.021725463E0,1.258345395E-1,-2.296785712E-1,7.528692484E-2
2.027280463E0,-4.111002088E-1,6.224533319E-1,-1.314848661E-1
2.032835463E0,-9.361234307E-1,1.470920205E0,-2.765611112E-1
2.038390463E0,-1.392579079E0,2.156443596E0,-3.732276857E-1
2.043945463E0,-1.696170092E0,2.679176092E0,-4.494308829E-1
2.049500463E0,-1.807649732E0,3.056068897E0,-5.143333673E-1
2.055055463E0,-1.747023106E0,3.280097008E0,-5.312843919E-1
2.060610463E0,-1.568961143E0,3.364852190E0,-4.976878166E-1
