"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.692368588E0,9.462500572E0,3.698749924E1,2.522500038E1
2.702444056E0,8.875000000E0,3.686249924E1,2.461250114E1
2.712519056E0,8.275000572E0,3.743750000E1,2.461250114E1
2.722590515E0,8.275000572E0,3.773749924E1,2.461250114E1
2.732662546E0,8.125000000E0,3.758750153E1,2.431250000E1
2.742736660E0,8.275000572E0,3.773749924E1,2.446249962E1
2.752809160E0,9.162500381E0,3.713750076E1,2.431250000E1
2.762883171E0,8.574999809E0,3.671250153E1,2.428750038E1
2.772958588E0,7.550000191E0,3.746250153E1,2.383749962E1
2.783034629E0,7.262500286E0,3.746250153E1,2.352499962E1
2.793110931E0,7.112500191E0,3.776250076E1,2.446249962E1
2.803186817E0,6.512500286E0,3.806250000E1,2.491250038E1
2.813264785E0,6.812500000E0,3.717499924E1,2.506250000E1
2.823342598E0,6.812500000E0,3.702500153E1,2.536250114E1
2.833417858E0,5.937500000E0,3.732500076E1,2.521249962E1
2.843497754E0,6.237500191E0,3.747500229E1,2.473750114E1
2.853576348E0,6.512500286E0,3.761249924E1,2.476250076E1
2.863647910E0,6.087500095E0,3.732500076E1,2.521249962E1
2.873724160E0,5.937500000E0,3.702500153E1,2.582500076E1
2.883802546E0,5.787499905E0,3.675000000E1,2.551250076E1
2.893879733E0,5.349999905E0,3.732500076E1,2.473750114E1
2.903956452E0,4.900000095E0,3.777500153E1,2.536250114E1
2.914035046E0,5.337500095E0,3.762500000E1,2.551250076E1
2.924115619E0,5.787499905E0,3.717499924E1,2.536250114E1
2.934191713E0,5.637500286E0,3.717499924E1,2.566250038E1
2.944272910E0,5.937500000E0,3.732500076E1,2.645000076E1
2.954346713E0,5.787499905E0,3.762500000E1,2.691250038E1
2.964423796E0,5.637500286E0,3.791250229E1,2.630000114E1
2.974497025E0,5.937500000E0,3.660000229E1,2.627499962E1
2.984570671E0,5.650000095E0,3.615000153E1,2.641250038E1
2.994645671E0,5.650000095E0,3.660000229E1,2.596249962E1
3.004719160E0,5.637500286E0,3.687500000E1,2.581250000E1
3.014791869E0,5.487500191E0,3.717499924E1,2.675000000E1
3.024867442E0,5.337500095E0,3.777500153E1,2.706250000E1
3.034940567E0,4.450000286E0,3.777500153E1,2.706250000E1
3.045017022E0,4.325000286E0,3.690000153E1,2.735000038E1
3.055092959E0,4.900000095E0,3.615000153E1,2.717500114E1
3.065165980E0,5.050000191E0,3.615000153E1,2.717500114E1
3.075237126E0,4.474999905E0,3.660000229E1,2.764999962E1
3.085306501E0,3.587500095E0,3.691250229E1,2.717500114E1
3.095377907E0,3.137500048E0,3.691250229E1,2.750000000E1
3.105448532E0,3.437500000E0,3.661249924E1,2.811250114E1
3.115520772E0,3.287500143E0,3.631250000E1,2.780000114E1
3.125591501E0,2.412500143E0,3.633750153E1,2.747500038E1
3.135661241E0,1.825000048E0,3.633750153E1,2.810000038E1
3.145727959E0,1.524999976E0,3.604999924E1,2.870000076E1
3.155797699E0,1.250000000E0,3.575000000E1,3.008749962E1
3.165871762E0,3.499999940E-1,3.575000000E1,3.114999962E1
3.175944001E0,3.625000119E-1,3.487500000E1,3.160000038E1
3.186017959E0,6.625000238E-1,3.323749924E1,3.312500000E1
3.196091293E0,-2.125000060E-1,3.281250000E1,3.481250000E1
3.206164522E0,-1.100000024E0,3.252500153E1,3.587500000E1
3.216243012E0,-1.975000024E0,3.210000229E1,3.756250000E1
3.226316657E0,-1.399999976E0,3.207500076E1,3.756250000E1
3.236390876E0,-5.124999881E-1,3.162500000E1,3.725000000E1
3.246464678E0,-9.499999881E-1,3.120000076E1,3.771250153E1
3.256536032E0,-1.100000024E0,3.105000114E1,3.878750229E1
3.266611084E0,-6.250000000E-2,3.045000076E1,3.940000153E1
3.276688272E0,5.375000238E-1,3.000000000E1,3.954999924E1
3.286767439E0,9.875000119E-1,2.939999962E1,3.938750076E1
3.296839887E0,1.712499976E0,2.880000114E1,3.953750229E1
3.306912387E0,1.412500024E0,2.851250076E1,4.000000000E1
3.316987230E0,1.712499976E0,2.850000000E1,4.015000153E1
3.327062334E0,2.299999952E0,2.967500114E1,4.018750000E1
3.337136032E0,2.000000000E0,2.982500076E1,4.048749924E1
3.347215303E0,2.000000000E0,2.982500076E1,3.987500000E1
3.357291293E0,1.850000024E0,3.042500114E1,3.879999924E1
3.367364522E0,1.712499976E0,2.952499962E1,3.925000000E1
3.377440095E0,1.850000024E0,2.937500000E1,3.970000076E1
3.387516501E0,2.150000095E0,2.937500000E1,3.987500000E1
3.397587855E0,2.725000143E0,2.952499962E1,4.002500153E1
